,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,imdb_score,movie_titleO,combined
1420,Wes Craven,Lin Shaye,Horror,Johnny Depp,a nightmare on elm street,Amanda Wyss,7.5,A Nightmare on Elm Street,Wes Craven Lin Shaye Johnny Depp Horror Amanda Wyss
1421,Tarsem Singh,Jake Weber,Horror Sci-Fi Thriller,Dylan Baker,the cell,James Gammon,6.3,The Cell,Tarsem Singh Jake Weber Dylan Baker Horror Sci-Fi Thriller James Gammon
1422,Randall Wallace,Anne Parillaud,Action Adventure,Leonardo DiCaprio,the man in the iron mask,Judith Godrèche,6.4,The Man in the Iron Mask,Randall Wallace Anne Parillaud Leonardo DiCaprio Action Adventure Judith Godrèche
1423,Randall Wallace,Kevin Connolly,Biography Drama Family History Sport,Scott Glenn,secretariat,Dylan Walsh,7.2,Secretariat,Randall Wallace Kevin Connolly Scott Glenn Biography Drama Family History Sport Dylan Walsh
1424,Kevin Munroe,Sarah Michelle Gellar,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Chris Evans,tmnt,Mako,6.3,TMNT,Kevin Munroe Sarah Michelle Gellar Chris Evans Action Adventure Animation Comedy Family Fantasy Sci-Fi Mako
1425,Michael Tollin,Riley Smith,Biography Drama Sport,Alfre Woodard,radio,Debra Winger,6.9,Radio,Michael Tollin Riley Smith Alfre Woodard Biography Drama Sport Debra Winger
1426,Will Gluck,Justin Timberlake,Comedy Romance,Mila Kunis,friends with benefits,Masi Oka,6.6,Friends with Benefits,Will Gluck Justin Timberlake Mila Kunis Comedy Romance Masi Oka
1427,Nicholas Stoller,Ike Barinholtz,Comedy,Chloë Grace Moretz,neighbors 2: sorority rising,Kiersey Clemons,6.0,Neighbors 2: Sorority Rising,Nicholas Stoller Ike Barinholtz Chloë Grace Moretz Comedy Kiersey Clemons
1428,John Lee Hancock,Ruth Wilson,Biography Comedy Drama History Music,Tom Hanks,saving mr. banks,B.J. Novak,7.5,Saving Mr. Banks,John Lee Hancock Ruth Wilson Tom Hanks Biography Comedy Drama History Music B.J. Novak
1429,Spike Lee,Delroy Lindo,Biography Drama History Romance,Denzel Washington,malcolm x,Al Freeman Jr.,7.7,Malcolm X,Spike Lee Delroy Lindo Denzel Washington Biography Drama History Romance Al Freeman Jr.
1430,Judd Apatow,Maude Apatow,Comedy,Charlyne Yi,this is 40,Mackenzie Aladjem,6.2,This Is 40,Judd Apatow Maude Apatow Charlyne Yi Comedy Mackenzie Aladjem
1431,Walt Becker,Bernie Mac,Comedy Family,Robin Williams,old dogs,Ann-Margret,5.4,Old Dogs,Walt Becker Bernie Mac Robin Williams Comedy Family Ann-Margret
1432,Patrick Tatopoulos,Kevin Grevioux,Action Adventure Fantasy Sci-Fi Thriller,Craig Parker,underworld: rise of the lycans,Steven Mackintosh,6.6,Underworld: Rise of the Lycans,Patrick Tatopoulos Kevin Grevioux Craig Parker Action Adventure Fantasy Sci-Fi Thriller Steven Mackintosh
1433,Ken Kwapis,Christine Taylor,Comedy Romance,Robin Williams,license to wed,Mindy Kaling,5.3,License to Wed,Ken Kwapis Christine Taylor Robin Williams Comedy Romance Mindy Kaling
1434,Dennis Dugan,Jon Heder,Comedy Romance Sport,Jon Lovitz,the benchwarmers,Tim Meadows,5.6,The Benchwarmers,Dennis Dugan Jon Heder Jon Lovitz Comedy Romance Sport Tim Meadows
1435,Gary David Goldberg,Victor Webster,Comedy Romance,Stockard Channing,must love dogs,Elizabeth Perkins,5.9,Must Love Dogs,Gary David Goldberg Victor Webster Stockard Channing Comedy Romance Elizabeth Perkins
1436,Mike Newell,Al Pacino,Biography Crime Drama,Johnny Depp,donnie brasco,Anne Heche,7.8,Donnie Brasco,Mike Newell Al Pacino Johnny Depp Biography Crime Drama Anne Heche
1437,Paul W.S. Anderson,Jaymes Butler,Action Horror Sci-Fi,Milla Jovovich,resident evil,Colin Salmon,6.7,Resident Evil,Paul W.S. Anderson Jaymes Butler Milla Jovovich Action Horror Sci-Fi Colin Salmon
1438,Tobe Hooper,Zelda Rubinstein,Fantasy Horror,Heather O'Rourke,poltergeist,Craig T. Nelson,7.4,Poltergeist,Tobe Hooper Zelda Rubinstein Heather O'Rourke Fantasy Horror Craig T. Nelson
1439,Ethan Coen,Tom Hanks,Comedy Crime Thriller,J.K. Simmons,the ladykillers,Stephen Root,6.2,The Ladykillers,Ethan Coen Tom Hanks J.K. Simmons Comedy Crime Thriller Stephen Root
1440,John Moore,Beau Bridges,Action Crime Drama Mystery Thriller,Mila Kunis,max payne,Jamie Hector,5.4,Max Payne,John Moore Beau Bridges Mila Kunis Action Crime Drama Mystery Thriller Jamie Hector
1441,Andrew Niccol,Olivia Wilde,Action Sci-Fi Thriller,Matt Bomer,in time,Justin Timberlake,6.7,In Time,Andrew Niccol Olivia Wilde Matt Bomer Action Sci-Fi Thriller Justin Timberlake
1442,Alan Poul,Noureen DeWulf,Comedy Romance,Danneel Ackles,the back-up plan,Tom Bosley,5.3,The Back-up Plan,Alan Poul Noureen DeWulf Danneel Ackles Comedy Romance Tom Bosley
1443,Luke Greenfield,Steve Howey,Comedy Drama Romance,Ashley Williams,something borrowed,Kirsten Day,5.9,Something Borrowed,Luke Greenfield Steve Howey Ashley Williams Comedy Drama Romance Kirsten Day
1445,Gil Junger,Marsha Thomason,Adventure Comedy Fantasy,Tom Wilkinson,black knight,Vincent Regan,4.8,Black Knight,Gil Junger Marsha Thomason Tom Wilkinson Adventure Comedy Fantasy Vincent Regan
1446,Michael Ritchie,Vic Morrow,Comedy Drama Family Sport,Tatum O'Neal,the bad news bears,Joyce Van Patten,7.3,The Bad News Bears,Michael Ritchie Vic Morrow Tatum O'Neal Comedy Drama Family Sport Joyce Van Patten
1447,Steven E. de Souza,Raul Julia,Action Adventure Comedy Thriller,Ming-Na Wen,street fighter,Kylie Minogue,3.8,Street Fighter,Steven E. de Souza Raul Julia Ming-Na Wen Action Adventure Comedy Thriller Kylie Minogue
1448,Roman Polanski,Frank Finlay,Biography Drama War,Emilia Fox,the pianist,Ed Stoppard,8.5,The Pianist,Roman Polanski Frank Finlay Emilia Fox Biography Drama War Ed Stoppard
1450,Catherine Hardwicke,Hiam Abbass,Drama Family Fantasy,Keisha Castle-Hughes,the nativity story,Shaun Toub,6.8,The Nativity Story,Catherine Hardwicke Hiam Abbass Keisha Castle-Hughes Drama Family Fantasy Shaun Toub
1451,Jaume Collet-Serra,Paris Hilton,Horror,Robert Ri'chard,house of wax,Brian Van Holt,5.3,House of Wax,Jaume Collet-Serra Paris Hilton Robert Ri'chard Horror Brian Van Holt
1452,Mike Nichols,Julia Roberts,Drama Romance,Natalie Portman,closer,Colin Stinton,7.3,Closer,Mike Nichols Julia Roberts Natalie Portman Drama Romance Colin Stinton
1453,Clint Eastwood,Naomi Watts,Biography Crime Drama,Leonardo DiCaprio,j. edgar,Kaitlyn Dever,6.6,J. Edgar,Clint Eastwood Naomi Watts Leonardo DiCaprio Biography Crime Drama Kaitlyn Dever
1454,Alexandre Aja,Cameron Boyce,Horror Mystery,Jason Flemyng,mirrors,Julian Glover,6.2,Mirrors,Alexandre Aja Cameron Boyce Jason Flemyng Horror Mystery Julian Glover
1455,Michael Rymer,Lena Olin,Drama Fantasy Horror,Aaliyah,queen of the damned,Bruce Spence,5.2,Queen of the Damned,Michael Rymer Lena Olin Aaliyah Drama Fantasy Horror Bruce Spence
1456,Stephen Hopkins,Robert Davi,Action Horror Sci-Fi,Adam Baldwin,predator 2,Kevin Peter Hall,6.2,Predator 2,Stephen Hopkins Robert Davi Adam Baldwin Action Horror Sci-Fi Kevin Peter Hall
1457,Gregory Hoblit,Jesse Tyler Ferguson,Crime Drama Thriller,Billy Burke,untraceable,Joseph Cross,6.2,Untraceable,Gregory Hoblit Jesse Tyler Ferguson Billy Burke Crime Drama Thriller Joseph Cross
1458,Hugh Wilson,Sissy Spacek,Comedy Drama Romance Sci-Fi,Brendan Fraser,blast from the past,Douglas Smith,6.6,Blast from the Past,Hugh Wilson Sissy Spacek Brendan Fraser Comedy Drama Romance Sci-Fi Douglas Smith
1459,Mike Hodges,William Hootkins,Action Adventure Sci-Fi,Brian Blessed,flash gordon,Sam J. Jones,6.4,Flash Gordon,Mike Hodges William Hootkins Brian Blessed Action Adventure Sci-Fi Sam J. Jones
1460,Kevin Smith,Mike Starr,Comedy Drama Romance,Stephen Root,jersey girl,George Carlin,6.2,Jersey Girl,Kevin Smith Mike Starr Stephen Root Comedy Drama Romance George Carlin
1461,Rob Cohen,Chad Lindberg,Action Crime Mystery Thriller,Cicely Tyson,alex cross,Carmen Ejogo,5.1,Alex Cross,Rob Cohen Chad Lindberg Cicely Tyson Action Crime Mystery Thriller Carmen Ejogo
1462,Clint Eastwood,Bob Gunton,Crime Drama Mystery Thriller,Kevin Spacey,midnight in the garden of good and evil,Leon Rippy,6.6,Midnight in the Garden of Good and Evil,Clint Eastwood Bob Gunton Kevin Spacey Crime Drama Mystery Thriller Leon Rippy
1463,Scott Mann,Joshua Mikel,Action Crime Thriller,Robert De Niro,heist,D.B. Sweeney,6.1,Heist,Scott Mann Joshua Mikel Robert De Niro Action Crime Thriller D.B. Sweeney
1464,Susanna White,Bill Bailey,Comedy Family Fantasy,Daniel Mays,nanny mcphee returns,Eros Vlahos,6.1,Nanny McPhee Returns,Susanna White Bill Bailey Daniel Mays Comedy Family Fantasy Eros Vlahos
1465,Danny DeVito,J.T. Walsh,Biography Crime Drama,Frank Whaley,hoffa,Paul Guilfoyle,6.6,Hoffa,Danny DeVito J.T. Walsh Frank Whaley Biography Crime Drama Paul Guilfoyle
1466,Chris Carter,Callum Rennie,Drama Mystery Sci-Fi Thriller,Mitch Pileggi,the x files: i want to believe,Nicki Aycox,5.9,The X Files: I Want to Believe,Chris Carter Callum Rennie Mitch Pileggi Drama Mystery Sci-Fi Thriller Nicki Aycox
1467,Tommy O'Haver,Steve Coogan,Comedy Family Fantasy Romance,Anne Hathaway,ella enchanted,Joanna Lumley,6.3,Ella Enchanted,Tommy O'Haver Steve Coogan Anne Hathaway Comedy Family Fantasy Romance Joanna Lumley
1468,Peter Landesman,Eddie Marsan,Biography Drama Sport,Will Smith,concussion,Albert Brooks,7.1,Concussion,Peter Landesman Eddie Marsan Will Smith Biography Drama Sport Albert Brooks
1469,John Singleton,Benjamin J. Cain Jr.,Action Mystery Thriller,Ken Arnold,abduction,Richard Cetrone,5.0,Abduction,John Singleton Benjamin J. Cain Jr. Ken Arnold Action Mystery Thriller Richard Cetrone
1470,Gary Chapman,Olivia Williams,Adventure Animation Comedy Family War,Jim Broadbent,valiant,Pip Torrens,5.6,Valiant,Gary Chapman Olivia Williams Jim Broadbent Adventure Animation Comedy Family War Pip Torrens
1471,Curtis Hanson,Rip Torn,Comedy Drama,Robert Downey Jr.,wonder boys,Richard Thomas,7.4,Wonder Boys,Curtis Hanson Rip Torn Robert Downey Jr. Comedy Drama Richard Thomas
1472,Craig Mazin,Tracy Morgan,Action Comedy Sci-Fi Thriller,Drake Bell,superhero movie,Marion Ross,4.5,Superhero Movie,Craig Mazin Tracy Morgan Drake Bell Action Comedy Sci-Fi Thriller Marion Ross
1473,Allen Hughes,James Ransone,Crime Drama Thriller,Alona Tal,broken city,Michael Beach,6.2,Broken City,Allen Hughes James Ransone Alona Tal Crime Drama Thriller Michael Beach
1474,Wes Craven,Portia de Rossi,Comedy Horror,Shannon Elizabeth,cursed,Derek Mears,5.0,Cursed,Wes Craven Portia de Rossi Shannon Elizabeth Comedy Horror Derek Mears
1475,David Koepp,Dania Ramirez,Action Crime Thriller,Joseph Gordon-Levitt,premium rush,Aasif Mandvi,6.5,Premium Rush,David Koepp Dania Ramirez Joseph Gordon-Levitt Action Crime Thriller Aasif Mandvi
1476,Anne Fletcher,Richard T. Jones,Action Comedy Crime,Jim Gaffigan,hot pursuit,Michael Mosley,5.1,Hot Pursuit,Anne Fletcher Richard T. Jones Jim Gaffigan Action Comedy Crime Michael Mosley
1477,Shekhar Kapur,Lucy Gordon,Adventure Drama Romance War,Djimon Hounsou,the four feathers,Alex Jennings,6.5,The Four Feathers,Shekhar Kapur Lucy Gordon Djimon Hounsou Adventure Drama Romance War Alex Jennings
1478,Taylor Hackford,Clifton Collins Jr.,Action Crime Romance Thriller,Jason Statham,parker,Wendell Pierce,6.2,Parker,Taylor Hackford Clifton Collins Jr. Jason Statham Action Crime Romance Thriller Wendell Pierce
1479,Richard Loncraine,Jon Favreau,Comedy Romance Sport,Kirsten Dunst,wimbledon,Austin Nichols,6.3,Wimbledon,Richard Loncraine Jon Favreau Kirsten Dunst Comedy Romance Sport Austin Nichols
1480,Roger Kumble,Brooke Shields,Comedy Family,Brendan Fraser,furry vengeance,Matt Prokop,3.8,Furry Vengeance,Roger Kumble Brooke Shields Brendan Fraser Comedy Family Matt Prokop
1481,Kimble Rendall,Cariba Heine,Action Horror Sci-Fi,Alex Russell,bait,Richard Brancatisano,5.2,Bait,Kimble Rendall Cariba Heine Alex Russell Action Horror Sci-Fi Richard Brancatisano
1482,Peter Yates,Alun Armstrong,Action Adventure Fantasy,Liam Neeson,krull,Lysette Anthony,6.0,Krull,Peter Yates Alun Armstrong Liam Neeson Action Adventure Fantasy Lysette Anthony
1483,Robert Redford,Tom Cruise,Drama Thriller War,Meryl Streep,lions for lambs,Andrew Garfield,6.2,Lions for Lambs,Robert Redford Tom Cruise Meryl Streep Drama Thriller War Andrew Garfield
1484,John Milius,Dann Florek,Action Drama Thriller War,Rosanna Arquette,flight of the intruder,Christopher Rich,5.7,Flight of the Intruder,John Milius Dann Florek Rosanna Arquette Action Drama Thriller War Christopher Rich
1485,Jake Kasdan,Nat Faxon,Comedy Music,Tim Meadows,walk hard: the dewey cox story,Matt Price,6.7,Walk Hard: The Dewey Cox Story,Jake Kasdan Nat Faxon Tim Meadows Comedy Music Matt Price
1486,Lasse Hallström,Scott Glenn,Drama,Kevin Spacey,the shipping news,Jason Behr,6.8,The Shipping News,Lasse Hallström Scott Glenn Kevin Spacey Drama Jason Behr
1487,Les Mayfield,Ronny Cox,Action Western,Gregory Smith,american outlaws,Harris Yulin,6.0,American Outlaws,Les Mayfield Ronny Cox Gregory Smith Action Western Harris Yulin
1488,Jean-Marc Vallée,Jim Broadbent,Biography Drama History Romance,Michiel Huisman,the young victoria,Thomas Kretschmann,7.3,The Young Victoria,Jean-Marc Vallée Jim Broadbent Michiel Huisman Biography Drama History Romance Thomas Kretschmann
1489,Dominic Sena,Bashar Rahal,Action Crime Mystery Thriller,Tom Skerritt,whiteout,Shawn Doyle,5.5,Whiteout,Dominic Sena Bashar Rahal Tom Skerritt Action Crime Mystery Thriller Shawn Doyle
1490,Terrence Malick,Tye Sheridan,Drama Fantasy,Brad Pitt,the tree of life,Fiona Shaw,6.7,The Tree of Life,Terrence Malick Tye Sheridan Brad Pitt Drama Fantasy Fiona Shaw
1491,Hark Tsui,Lela Rochon,Action Comedy Thriller,Paul Sorvino,knock off,Ray Nicholas,4.8,Knock Off,Hark Tsui Lela Rochon Paul Sorvino Action Comedy Thriller Ray Nicholas
1492,David Ayer,Martin Donovan,Action Crime Drama Thriller,Mireille Enos,sabotage,Maurice Compte,5.7,Sabotage,David Ayer Martin Donovan Mireille Enos Action Crime Drama Thriller Maurice Compte
1493,Brian Helgeland,Mark Addy,Action Mystery Thriller,Heath Ledger,the order,Benno Fürmann,5.1,The Order,Brian Helgeland Mark Addy Heath Ledger Action Mystery Thriller Benno Fürmann
1494,Lexi Alexander,Wayne Knight,Action Crime Drama Thriller,Julie Benz,punisher: war zone,Colin Salmon,6.0,Punisher: War Zone,Lexi Alexander Wayne Knight Julie Benz Action Crime Drama Thriller Colin Salmon
1495,Peter Hewitt,Rip Torn,Action Adventure Family Sci-Fi,Kevin Zegers,zoom,Thomas F. Wilson,4.2,Zoom,Peter Hewitt Rip Torn Kevin Zegers Action Adventure Family Sci-Fi Thomas F. Wilson
1496,Robert Zemeckis,Soleyman Pierini,Adventure Biography Drama Thriller,Joseph Gordon-Levitt,the walk,Jade Kindar-Martin,7.4,The Walk,Robert Zemeckis Soleyman Pierini Joseph Gordon-Levitt Adventure Biography Drama Thriller Jade Kindar-Martin
1497,Ronny Yu,Lee Arenberg,Action Adventure Fantasy,Marley Shelton,warriors of virtue,Angus Macfadyen,4.6,Warriors of Virtue,Ronny Yu Lee Arenberg Marley Shelton Action Adventure Fantasy Angus Macfadyen
1498,Ridley Scott,Albert Finney,Comedy Drama Romance,Archie Panjabi,a good year,Richard Coyle,6.9,A Good Year,Ridley Scott Albert Finney Archie Panjabi Comedy Drama Romance Richard Coyle
1500,Richard Donner,Thomas Ian Nicholas,Drama,Adam Baldwin,radio flyer,John Heard,6.9,Radio Flyer,Richard Donner Thomas Ian Nicholas Adam Baldwin Drama John Heard
1501,Taylor Hackford,Jesse Borrego,Crime Drama,Delroy Lindo,"blood in, blood out",Raymond Cruz,8.0,"Blood In, Blood Out",Taylor Hackford Jesse Borrego Delroy Lindo Crime Drama Raymond Cruz
1502,Bille August,Tom Wilkinson,Action Drama Sci-Fi Thriller,Jim Broadbent,smilla's sense of snow,Julia Ormond,6.4,Smilla's Sense of Snow,Bille August Tom Wilkinson Jim Broadbent Action Drama Sci-Fi Thriller Julia Ormond
1503,Brian De Palma,Gregg Henry,Crime Drama Mystery Thriller,Peter Coyote,femme fatale,Rie Rasmussen,6.3,Femme Fatale,Brian De Palma Gregg Henry Peter Coyote Crime Drama Mystery Thriller Rie Rasmussen
1504,Moustapha Akkad,Rod Steiger,Biography Drama History War,Oliver Reed,lion of the desert,John Gielgud,8.4,Lion of the Desert,Moustapha Akkad Rod Steiger Oliver Reed Biography Drama History War John Gielgud
1505,Jean-Paul Rappeneau,François Cluzet,Adventure Drama Romance War,Olivier Martinez,the horseman on the roof,Isabelle Carré,7.1,The Horseman on the Roof,Jean-Paul Rappeneau François Cluzet Olivier Martinez Adventure Drama Romance War Isabelle Carré
1506,Ang Lee,Jeffrey Dover,Drama Romance War Western,Jeremy W. Auman,ride with the devil,Tobey Maguire,6.8,Ride with the Devil,Ang Lee Jeffrey Dover Jeremy W. Auman Drama Romance War Western Tobey Maguire
1507,Alejandro G. Iñárritu,Hanaa Bouchaib,Drama,Maricel Álvarez,biutiful,Eduard Fernández,7.5,Biutiful,Alejandro G. Iñárritu Hanaa Bouchaib Maricel Álvarez Drama Eduard Fernández
1509,Joachim Rønning,Sam Shepard,Action Comedy Crime Western,Salma Hayek,bandidas,Dwight Yoakam,5.7,Bandidas,Joachim Rønning Sam Shepard Salma Hayek Action Comedy Crime Western Dwight Yoakam
1510,Tony Kaye,Aisha Tyler,Crime Drama,Bill Cobbs,black water transit,Beverly D'Angelo,7.2,Black Water Transit,Tony Kaye Aisha Tyler Bill Cobbs Crime Drama Beverly D'Angelo
1511,Wes Ball,Aml Ameen,Action Mystery Sci-Fi Thriller,Ki Hong Lee,the maze runner,Jacob Latimore,6.8,The Maze Runner,Wes Ball Aml Ameen Ki Hong Lee Action Mystery Sci-Fi Thriller Jacob Latimore
1512,Ken Scott,June Diane Raphael,Comedy,Tom Wilkinson,unfinished business,Melissa McMeekin,5.4,Unfinished Business,Ken Scott June Diane Raphael Tom Wilkinson Comedy Melissa McMeekin
1513,Martin Scorsese,Geraldine Chaplin,Drama Romance,Richard E. Grant,the age of innocence,Stuart Wilson,7.2,The Age of Innocence,Martin Scorsese Geraldine Chaplin Richard E. Grant Drama Romance Stuart Wilson
1514,Darren Aronofsky,Ellen Burstyn,Drama Sci-Fi,Hugh Jackman,the fountain,Mark Margolis,7.3,The Fountain,Darren Aronofsky Ellen Burstyn Hugh Jackman Drama Sci-Fi Mark Margolis
1515,Hugh Johnson,Kevin J. O'Connor,Action Adventure Comedy Drama Thriller,David Paymer,chill factor,Hudson Leick,5.2,Chill Factor,Hugh Johnson Kevin J. O'Connor David Paymer Action Adventure Comedy Drama Thriller Hudson Leick
1516,Simon West,Mark Valley,Action Crime Drama Thriller,Nicolas Cage,stolen,Sami Gayle,5.5,Stolen,Simon West Mark Valley Nicolas Cage Action Crime Drama Thriller Sami Gayle
1517,Hayao Miyazaki,Yûki Amami,Adventure Animation Family Fantasy,Rumi Hiiragi,ponyo,Yuria Nara,7.7,Ponyo,Hayao Miyazaki Yûki Amami Rumi Hiiragi Adventure Animation Family Fantasy Yuria Nara
1518,George Tillman Jr.,Melissa Benoist,Drama Romance,Tiago Riani,the longest ride,Hayley Lovitt,7.1,The Longest Ride,George Tillman Jr. Melissa Benoist Tiago Riani Drama Romance Hayley Lovitt
1519,Rand Ravich,Charlize Theron,Drama Sci-Fi Thriller,Johnny Depp,the astronaut's wife,Clea DuVall,5.3,The Astronaut's Wife,Rand Ravich Charlize Theron Johnny Depp Drama Sci-Fi Thriller Clea DuVall
1520,Hugh Hudson,Eva Marie Saint,Adventure Drama Romance,Liam Aiken,i dreamed of africa,Vincent Perez,5.6,I Dreamed of Africa,Hugh Hudson Eva Marie Saint Liam Aiken Adventure Drama Romance Vincent Perez
1521,Gabriele Muccino,Dennis Quaid,Comedy Romance Sport,Gerard Butler,playing for keeps,Judy Greer,5.7,Playing for Keeps,Gabriele Muccino Dennis Quaid Gerard Butler Comedy Romance Sport Judy Greer
1522,Justin Chadwick,Fana Mokoena,Biography Drama History,Terry Pheto,mandela: long walk to freedom,Tony Kgoroge,7.1,Mandela: Long Walk to Freedom,Justin Chadwick Fana Mokoena Terry Pheto Biography Drama History Tony Kgoroge
1523,Warren Beatty,Warren Beatty,Biography Drama History Romance,Paul Sorvino,reds,M. Emmet Walsh,7.5,Reds,Warren Beatty Warren Beatty Paul Sorvino Biography Drama History Romance M. Emmet Walsh
1524,Rob Reiner,Demi Moore,Drama Thriller,Tom Cruise,a few good men,Kevin Pollak,7.6,A Few Good Men,Rob Reiner Demi Moore Tom Cruise Drama Thriller Kevin Pollak
1525,Andrzej Bartkowiak,Bill Duke,Action Comedy Crime Drama Thriller,Michael Jai White,exit wounds,Bruce McGill,5.5,Exit Wounds,Andrzej Bartkowiak Bill Duke Michael Jai White Action Comedy Crime Drama Thriller Bruce McGill
1526,Raja Gosnell,Cedric the Entertainer,Action Comedy Crime,Nia Long,big momma's house,Tichina Arnold,5.1,Big Momma's House,Raja Gosnell Cedric the Entertainer Nia Long Action Comedy Crime Tichina Arnold
1527,Jeremy Degruson,Brianne Brozey,Adventure Animation Comedy Family Fantasy,Kyle Hebert,thunder and the house of magic,Joe Ochman,6.3,Thunder and the House of Magic,Jeremy Degruson Brianne Brozey Kyle Hebert Adventure Animation Comedy Family Fantasy Joe Ochman
1528,Chris Gorak,Veronika Vernadskaya,Action Adventure Horror Sci-Fi Thriller,Max Minghella,the darkest hour,Dato Bakhtadze,4.9,The Darkest Hour,Chris Gorak Veronika Vernadskaya Max Minghella Action Adventure Horror Sci-Fi Thriller Dato Bakhtadze
1529,Scott Speer,Stephen Boss,Drama Music Romance,Ryan Guzman,step up revolution,Misha Gabriel Hamilton,6.5,Step Up Revolution,Scott Speer Stephen Boss Ryan Guzman Drama Music Romance Misha Gabriel Hamilton
1530,David R. Ellis,Kenan Thompson,Action Adventure Crime Drama Thriller,Lin Shaye,snakes on a plane,Rachel Blanchard,5.6,Snakes on a Plane,David R. Ellis Kenan Thompson Lin Shaye Action Adventure Crime Drama Thriller Rachel Blanchard
1531,Joe Charbanic,Joseph Sikora,Crime Horror Mystery Thriller,Keanu Reeves,the watcher,Chris Ellis,5.3,The Watcher,Joe Charbanic Joseph Sikora Keanu Reeves Crime Horror Mystery Thriller Chris Ellis
1532,Jonathan Hensleigh,Marco St. John,Action Crime Drama Thriller,Laura Harring,the punisher,Eddie Jemison,6.5,The Punisher,Jonathan Hensleigh Marco St. John Laura Harring Action Crime Drama Thriller Eddie Jemison
1533,Danny Cannon,Kuno Becker,Drama Romance Sport,Sean Pertwee,goal! the dream begins,Stephen Dillane,6.8,Goal! The Dream Begins,Danny Cannon Kuno Becker Sean Pertwee Drama Romance Sport Stephen Dillane
1534,Boaz Yakin,Reggie Lee,Action Crime Thriller,Jason Statham,safe,Robert John Burke,6.5,Safe,Boaz Yakin Reggie Lee Jason Statham Action Crime Thriller Robert John Burke
1535,Mike Newell,Kurt Fuller,Comedy Drama Romance,Angelina Jolie Pitt,pushing tin,Jake Weber,6.0,Pushing Tin,Mike Newell Kurt Fuller Angelina Jolie Pitt Comedy Drama Romance Jake Weber
1536,Richard Marquand,Ian McDiarmid,Action Adventure Fantasy Sci-Fi,Harrison Ford,star wars: episode vi - return of the jedi,Kenny Baker,8.4,Star Wars: Episode VI - Return of the Jedi,Richard Marquand Ian McDiarmid Harrison Ford Action Adventure Fantasy Sci-Fi Kenny Baker
1537,Neil Marshall,Jason Cope,Action Sci-Fi Thriller,Ryan Kruger,doomsday,Jeremy Crutchley,6.0,Doomsday,Neil Marshall Jason Cope Ryan Kruger Action Sci-Fi Thriller Jeremy Crutchley
1538,Stephen Daldry,David Kross,Drama Romance,Kate Winslet,the reader,Susanne Lothar,7.6,The Reader,Stephen Daldry David Kross Kate Winslet Drama Romance Susanne Lothar
1539,David Wain,Lauren Ambrose,Comedy,Justin Theroux,wanderlust,Joe Lo Truglio,5.6,Wanderlust,David Wain Lauren Ambrose Justin Theroux Comedy Joe Lo Truglio
1540,Jon Favreau,Zooey Deschanel,Comedy Family Fantasy Romance,Peter Dinklage,elf,Will Ferrell,6.9,Elf,Jon Favreau Zooey Deschanel Peter Dinklage Comedy Family Fantasy Romance Will Ferrell
1541,Jon Turteltaub,Kyra Sedgwick,Drama Fantasy Romance Sci-Fi,Robert Duvall,phenomenon,David Gallagher,6.4,Phenomenon,Jon Turteltaub Kyra Sedgwick Robert Duvall Drama Fantasy Romance Sci-Fi David Gallagher
1542,Brian Levant,Nichelle Nichols,Adventure Comedy Family Sport,James Coburn,snow dogs,M. Emmet Walsh,5.1,Snow Dogs,Brian Levant Nichelle Nichols James Coburn Adventure Comedy Family Sport M. Emmet Walsh
1543,Richard Donner,Alfre Woodard,Comedy Drama Fantasy,Bill Murray,scrooged,Robert Mitchum,7.0,Scrooged,Richard Donner Alfre Woodard Bill Murray Comedy Drama Fantasy Robert Mitchum
1544,Jared Hess,Moises Arias,Comedy Family Sport,Ana de la Reguera,nacho libre,Héctor Jiménez,5.7,Nacho Libre,Jared Hess Moises Arias Ana de la Reguera Comedy Family Sport Héctor Jiménez
1545,Paul Feig,Wendi McLendon-Covey,Comedy Romance,Matt Lucas,bridesmaids,Steve Bannos,6.8,Bridesmaids,Paul Feig Wendi McLendon-Covey Matt Lucas Comedy Romance Steve Bannos
1546,Evan Goldberg,James Franco,Comedy Fantasy,Channing Tatum,this is the end,Emma Watson,6.7,This Is the End,Evan Goldberg James Franco Channing Tatum Comedy Fantasy Emma Watson
1547,Rupert Wainwright,Enrico Colantoni,Horror,Nia Long,stigmata,Portia de Rossi,6.2,Stigmata,Rupert Wainwright Enrico Colantoni Nia Long Horror Portia de Rossi
1548,George Tillman Jr.,Charlize Theron,Biography Drama,Robert De Niro,men of honor,Michael Rapaport,7.2,Men of Honor,George Tillman Jr. Charlize Theron Robert De Niro Biography Drama Michael Rapaport
1549,John Luessenhop,Hayden Christensen,Action Crime Thriller,Paul Walker,takers,Jay Hernandez,6.2,Takers,John Luessenhop Hayden Christensen Paul Walker Action Crime Thriller Jay Hernandez
1550,Justin Zackham,Robert De Niro,Comedy,Robin Williams,the big wedding,Topher Grace,5.6,The Big Wedding,Justin Zackham Robert De Niro Robin Williams Comedy Topher Grace
1551,John Whitesell,Tony Curran,Action Comedy Crime,Brandon T. Jackson,"big mommas: like father, like son",Portia Doubleday,4.4,"Big Mommas: Like Father, Like Son",John Whitesell Tony Curran Brandon T. Jackson Action Comedy Crime Portia Doubleday
